Numero;Tensao (p.u.);Angulo (graus);Carga Ativa (MW);Carga Reativa (Mvar);Geracao Ativa (MW);Geracao Reativa (Mvar);Shunt (Mvar)
1;1,04;0,00;55,00;17,00;478,73;132,94;-0,00
2;1,01;-1,19;3,00;88,00;0,00;1,04;-0,00
3;0,99;-5,99;41,00;21,00;40,00;2,31;-0,00
4;0,98;-7,34;0,00;0,00;0,00;0,00;-0,00
5;0,98;-8,55;13,00;4,00;0,00;0,00;-0,00
6;0,98;-8,68;75,00;2,00;0,00;2,54;-0,00
7;0,98;-7,61;0,00;0,00;0,00;0,00;-0,00
8;1,00;-4,49;150,00;22,00;450,00;63,41;-0,00
9;0,98;-9,59;121,00;26,00;0,00;5,46;-0,00
10;0,99;-11,45;5,00;2,00;0,00;0,00;-0,00
11;0,97;-10,19;0,00;0,00;0,00;0,00;-0,00
12;1,01;-10,48;377,00;24,00;310,00;132,92;-0,00
13;0,98;-9,80;18,00;2,30;0,00;0,00;-0,00
14;0,97;-9,35;10,50;5,30;0,00;0,00;-0,00
15;0,99;-7,19;22,00;5,00;0,00;0,00;-0,00
16;1,01;-8,86;43,00;3,00;0,00;0,00;-0,00
17;1,02;-5,39;42,00;8,00;0,00;0,00;-0,00
18;1,00;-11,73;27,20;9,80;0,00;0,00;10,01
19;0,97;-13,23;3,30;0,60;0,00;0,00;-0,00
20;0,96;-13,44;2,30;1,00;0,00;0,00;-0,00
21;1,01;-12,93;0,00;0,00;0,00;0,00;-0,00
22;1,01;-12,87;0,00;0,00;0,00;0,00;-0,00
23;1,01;-12,94;6,30;2,10;0,00;0,00;-0,00
24;1,00;-13,29;0,00;0,00;0,00;0,00;-0,00
25;0,98;-18,18;6,30;3,20;0,00;0,00;5,68
26;0,96;-12,98;0,00;0,00;0,00;0,00;-0,00
27;0,98;-11,52;9,30;0,50;0,00;0,00;-0,00
28;1,00;-10,49;4,60;2,30;0,00;0,00;-0,00
29;1,01;-9,78;17,00;2,60;0,00;0,00;-0,00
30;0,96;-18,73;3,60;1,80;0,00;0,00;-0,00
31;0,93;-19,39;5,80;2,90;0,00;0,00;-0,00
32;0,95;-18,52;1,60;0,80;0,00;0,00;-0,00
33;0,95;-18,56;3,80;1,90;0,00;0,00;-0,00
34;0,96;-14,15;0,00;0,00;0,00;0,00;-0,00
35;0,97;-13,90;6,00;3,00;0,00;0,00;-0,00
36;0,97;-13,63;0,00;0,00;0,00;0,00;-0,00
37;0,98;-13,44;0,00;0,00;0,00;0,00;-0,00
38;1,01;-12,73;14,00;7,00;0,00;0,00;-0,00
39;0,98;-13,49;0,00;0,00;0,00;0,00;-0,00
40;0,97;-13,66;0,00;0,00;0,00;0,00;-0,00
41;1,00;-14,08;6,30;3,00;0,00;0,00;-0,00
42;0,97;-15,54;7,10;4,40;0,00;0,00;-0,00
43;1,01;-11,36;2,00;1,00;0,00;0,00;-0,00
44;1,02;-11,85;12,00;1,80;0,00;0,00;-0,00
45;1,04;-9,27;0,00;0,00;0,00;0,00;-0,00
46;1,06;-11,11;0,00;0,00;0,00;0,00;-0,00
47;1,03;-12,51;29,70;11,60;0,00;0,00;-0,00
48;1,03;-12,61;0,00;0,00;0,00;0,00;-0,00
49;1,04;-12,94;18,00;8,50;0,00;0,00;-0,00
50;1,02;-13,42;21,00;10,50;0,00;0,00;-0,00
51;1,05;-12,54;18,00;5,30;0,00;0,00;-0,00
52;0,98;-11,51;4,90;2,20;0,00;0,00;-0,00
53;0,97;-12,26;20,00;10,00;0,00;0,00;5,94
54;1,00;-11,72;4,10;1,40;0,00;0,00;-0,00
55;1,03;-10,81;6,80;3,40;0,00;0,00;-0,00
56;0,97;-16,07;7,60;2,20;0,00;0,00;-0,00
57;0,96;-16,59;6,70;2,00;0,00;0,00;-0,00
