Numero;Nome;Tensao (p.u.);Angulo (graus);Carga Ativa (MW);Carga Reativa (Mvar);Geracao Ativa (MW);Geracao Reativa (Mvar);Shunt (Mvar);Potencia Ativa Elo DC (MW);Potencia Reativa Elo DC (Mvar);Injecao Equivalente (MW);Injecao Equivalente (Mvar);Motor de Inducao (MW);Motor de Inducao (Mvar);Tipo da Barra;Tensao (KV);CER (Mvar);Shunt de Linha (Mvar);Estado Operativo
1;Glen-Lyn-132;1,06;0,00;0,00;0,00;260,20;-16,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2;132,00;0,00;0,00;LIG
2;Claytor--132;1,04;-5,00;21,70;12,70;40,00;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;132,00;0,00;0,00;LIG
3;Kumis----132;1,02;-7,00;2,40;1,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;132,00;0,00;0,00;LIG
4;Hancock -132;1,01;-9,00;7,60;1,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;132,00;0,00;0,00;LIG
5;Fieldale-132;1,01;-14,00;94,20;19,00;0,00;37,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;132,00;0,00;0,00;LIG
6;Roanoke--132;1,01;-11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;132,00;0,00;0,00;LIG
7;Blaine---132;1,00;-13,00;22,80;10,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;132,00;0,00;0,00;LIG
8;Reusens--132;1,01;-12,00;30,00;30,00;0,00;37,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;132,00;0,00;0,00;LIG
9;Roanoke--1.0;1,05;-14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
10;Roanoke---33;1,04;-15,00;5,80;2,00;0,00;0,00;20,75;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
11;Roanoke---11;1,08;-14,00;0,00;0,00;0,00;16,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;11,00;0,00;0,00;LIG
12;Hancock---33;1,06;-15,00;11,20;7,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
13;Hancock---11;1,07;-15,00;0,00;0,00;0,00;10,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;11,00;0,00;0,00;LIG
14;Barra14---33;1,04;-16,00;6,20;1,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
15;Barra15---33;1,04;-16,00;8,20;2,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
16;Barra16---33;1,04;-15,00;3,50;1,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
17;Barra17---33;1,04;-16,00;9,00;5,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
18;Barra18---33;1,03;-16,00;3,20;0,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
19;Barra19---33;1,03;-17,00;9,50;3,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
20;Barra20---33;1,03;-16,00;2,20;0,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
21;Barra21---33;1,03;-16,00;17,50;11,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
22;Barra22---33;1,03;-16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
23;Barra23---33;1,03;-16,00;3,20;1,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
24;Barra24---33;1,02;-16,00;8,70;6,70;0,00;0,00;4,48;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
25;Barra25---33;1,02;-16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
26;Barra26---33;1,00;-16,00;3,50;2,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
27;Cloverdle-33;1,02;-15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
28;Cloverdle132;1,01;-11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;132,00;0,00;0,00;LIG
29;Barra29---33;1,00;-17,00;2,40;0,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
30;Barra30---33;0,99;-17,00;10,60;1,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;33,00;0,00;0,00;LIG
