Numero;Tensao (p.u.);Angulo (graus);Carga Ativa (MW);Carga Reativa (Mvar);Geracao Ativa (MW);Geracao Reativa (Mvar);Shunt (Mvar)
1;1,06;0,00;0,00;0,00;262,46;42,93;0,00
2;1,02;-5,11;21,70;12,70;40,00;40,00;0,00
3;0,99;-7,27;2,40;1,20;0,00;0,00;0,00
4;0,97;-9,00;7,60;1,60;0,00;0,00;0,00
5;0,98;-14,40;94,20;19,00;0,00;40,00;0,00
6;0,96;-10,79;0,00;0,00;0,00;0,00;0,00
7;0,96;-12,84;22,80;10,90;0,00;0,00;0,00
8;0,95;-11,44;30,00;30,00;0,00;10,00;0,00
9;0,99;-14,18;0,00;0,00;0,00;0,00;0,00
10;0,98;-15,98;5,80;2,00;0,00;0,00;18,28
11;1,00;-14,18;0,00;0,00;0,00;6,00;0,00
12;1,00;-15,23;11,20;7,50;0,00;0,00;0,00
13;1,01;-15,23;0,00;0,00;0,00;6,00;0,00
14;0,98;-16,22;6,20;1,60;0,00;0,00;0,00
15;0,98;-16,31;8,20;2,50;0,00;0,00;0,00
16;0,98;-15,83;3,50;1,80;0,00;0,00;0,00
17;0,98;-16,18;9,00;5,80;0,00;0,00;0,00
18;0,96;-16,98;3,20;0,90;0,00;0,00;0,00
19;0,96;-17,16;9,50;3,40;0,00;0,00;0,00
20;0,97;-16,93;2,20;0,70;0,00;0,00;0,00
21;0,97;-16,48;17,50;11,20;0,00;0,00;0,00
22;0,97;-16,46;0,00;0,00;0,00;0,00;0,00
23;0,96;-16,73;3,20;1,60;0,00;0,00;0,00
24;0,96;-16,89;8,70;6,70;0,00;0,00;3,94
25;0,96;-16,43;0,00;0,00;0,00;0,00;0,00
26;0,94;-16,90;3,50;2,30;0,00;0,00;0,00
27;0,96;-15,85;0,00;0,00;0,00;0,00;0,00
28;0,96;-11,44;0,00;0,00;0,00;0,00;0,00
29;0,94;-17,23;2,40;0,90;0,00;0,00;0,00
30;0,93;-18,23;10,60;1,90;0,00;0,00;0,00
